"Manufacturer","Model","Category","Subcategory","Short Description","Long Description","Discontinued","Tags","Phase","Labor Hours","Accounting Item Name","Preferred Vendor","Summarize","Fixed","Variable","Use Phase","Fixed Cost","Fixed Price","Unit Cost","Unit Price","Margin","Markup","Calculated","Auto Recalculate","Taxable","Custom Field 1 (Income Account)","Custom Field 2 (Expense Account)","Custom Field 3 (Spec Sheet - Type)","Custom Field 4 (Spec Sheet - Cut Out Dimensions)","Custom Field 5 (Spec Sheet - Part ID)","Custom Field 6","Custom Field 7","Custom Field 8","Custom Field 9","Custom Field 10","Custom Field 11","Custom Field 12 (Spec Sheet Options)","Custom Field 13","Custom Field 14"
"SAV","DISCOUNT LABOR MARGIN","Labor","Discount","Service Labor","Service Labor","False","","Finish","1.000","LABOR:Finish:Base","","False","False","True","True","0.0000","0.0000","49.0000","120.0000","0.5917","1.4490","False","False","True","Tech Solutions Labor Revenue:Finish Phase Labor Revenue","Tech Solutions Labor COGS:Finish Labor COGS","","","","0.00","0.00","0.00","","","","","",""
"SAV","PROGRAMMING:BASE","Labor","Programming Base","Programming Labor","Programming Labor","False","","Programming","0.500","LABOR:Programming:Base","","False","False","True","False","0.0000","0.0000","67.5000","145.0000","0.5345","1.1481","False","False","True","Tech Solutions Labor Revenue:Finish Phase Labor Revenue","Tech Solutions Labor COGS:Finish Labor COGS","","","","0.00","0.00","0.00","","","","","",""
"SAV","FINISH:MANAGEMENT","Labor","Finish Management","Project Management Finish Phase","Project Management Finish Phase","False","","Finish","2.000","LABOR:Finish:Management","","False","False","True","False","0.0000","0.0000","49.0000","105.0000","0.5333","1.1429","False","False","True","Tech Solutions Labor Revenue:Finish Phase Labor Revenue","Tech Solutions Labor COGS:Finish Labor COGS","","","","0.00","0.00","0.00","","","","","",""
"SAV","SECURITY FINISH:DESIGN","Labor","Security Design","Security Finish Design","Security Finish Design","False","","","0.000","LABOR:Security Finish:Design","","False","False","True","False","0.0000","0.0000","60.0000","0.0000","","","False","False","True","Tech Solutions Labor Revenue:Security Finish Labor Revenue","Tech Solutions Labor COGS:Security Finish Labor","","","","0.00","0.00","0.00","","","","","",""
"SAV","SECURITY ROUGH-IN MANAGEMENT","Labor","Security Management","Security Project Management Rough-in Phase","Security Project Management Rough-in Phase","False","","","0.000","LABOR:Security Rough:Management","","False","False","True","False","0.0000","0.0000","49.0000","105.0000","0.5333","1.1429","False","False","True","Tech Solutions Labor Revenue:Security Rough-in Labor Revenue","Tech Solutions Labor COGS:Security Rough-in Labor","","","","0.00","0.00","0.00","","","","","",""
"SAV","SECURITY FINISH:BASE","Labor","Security Base","Security Service Labor","Security Service Labor","False","","Security Finish","1.000","LABOR:Security Finish:Base","","False","False","True","True","0.0000","0.0000","49.0000","120.0000","0.5917","1.4490","False","False","True","Tech Solutions Labor Revenue:Security Finish Labor Revenue","Tech Solutions Labor COGS:Security Finish Labor","","","","0.00","0.00","0.00","","","","","",""
"SAV","TRAVEL TIME","Labor","","","Travel Time","False","","","0.000","LABOR:Travel Time","","False","False","True","False","0.0000","0.0000","0.0000","0.0000","","","False","False","True","","","","","","0.00","0.00","0.00","","","","","",""
"SAV","SUB-CONTRACTOR","Labor","","Subcontractor Expense","Subcontractor Expense","False","","","0.000","LABOR:Subcontractor","","False","True","False","False","0.0000","0.0000","0.0000","0.0000","","","False","False","True","","","","","","0.00","0.00","0.00","","","","","",""
"SAV","ROUGH-IN:DESIGN","Labor","Rough-In Design","Design Rough-in Phase","Design Rough-in Phase","False","","Rough-In","0.000","LABOR:Rough-in:Design","","False","False","True","False","0.0000","0.0000","60.0000","130.0000","0.5385","1.1667","False","False","True","Tech Solutions Labor Revenue:Rough-in Phase Labor Revenue","Tech Solutions Labor COGS:Rough-in Labor COGS","","","","0.00","0.00","0.00","","","","","",""
"SAV","ROUGH-IN:BASE","Labor","Rough-In Base","Rough-in Labor","Rough-in Labor","False","","Rough-In","1.000","LABOR:Rough-in:Base","","False","False","True","True","0.0000","0.0000","42.5000","92.0000","0.5380","1.1647","False","False","True","Tech Solutions Labor Revenue:Rough-in Phase Labor Revenue","Tech Solutions Labor COGS:Rough-in Labor COGS","","","","0.00","0.00","0.00","","","","","",""
"SAV","FINISH:DESIGN","Labor","Finish Design","Design Finish Phase","Design Finish Phase","False","","","0.500","LABOR:Finish:Design","","False","False","True","False","0.0000","0.0000","60.0000","130.0000","0.5385","1.1667","False","False","True","Tech Solutions Labor Revenue:Finish Phase Labor Revenue","Tech Solutions Labor COGS:Finish Labor COGS","","","","0.00","0.00","0.00","","","","","",""
"SAV","FINISH:BASE","Labor","Finish Base","Service Labor","Service Labor","False","","Finish","3.000","LABOR:Finish:Base","","False","False","True","False","0.0000","0.0000","49.0000","120.0000","0.5917","1.4490","False","False","True","Tech Solutions Labor Revenue:Finish Phase Labor Revenue","Tech Solutions Labor COGS:Finish Labor COGS","","","","0.00","0.00","0.00","","","","","",""
"SAV","SECURITY FINISH:MANAGEMENT","Labor","Security Management","Security Project Management Finish Phase","Security Project Management Finish Phase","False","","","0.000","LABOR:Security Finish:Management","","False","False","True","False","0.0000","0.0000","49.0000","105.0000","0.5333","1.1429","False","False","True","Tech Solutions Labor Revenue:Security Finish Labor Revenue","Tech Solutions Labor COGS:Security Finish Labor","","","","0.00","0.00","0.00","","","","","",""
"SAV","SECURITY ROUGH-IN DESIGN","Labor","Security Design","Security Rough-in Design","Security Rough-in Design","False","","","0.000","LABOR:Security Rough:Design","","False","False","True","False","0.0000","0.0000","60.0000","130.0000","0.5385","1.1667","False","False","True","Tech Solutions Labor Revenue:Security Rough-in Labor Revenue","Tech Solutions Labor COGS:Security Rough-in Labor","","","","0.00","0.00","0.00","","","","","",""
"SAV","TRAVEL","Labor","","","Travel Time","False","","Finish","8.000","LABOR:Travel Time","","False","True","True","True","500.0000","500.0000","0.0000","0.0000","","","False","False","True","","","","","","0.00","0.00","0.00","","","","","",""
"SAV","ROUGH-IN:MANAGEMENT","Labor","Rough-In Management","Project Management Rough-in Phase","Project Management Rough-in Phase","False","","Rough-In","0.000","LABOR:Rough-in:Management","","False","False","True","False","0.0000","0.0000","49.0000","105.0000","0.5333","1.1429","False","False","True","Tech Solutions Labor Revenue:Rough-in Phase Labor Revenue","Tech Solutions Labor COGS:Rough-in Labor COGS","","","","0.00","0.00","0.00","","","","","",""
"SAV","SECURITY ROUGH-IN:BASE","Labor","Security RI Base","Security Rough-in Labor","Security Rough-in Labor","False","","Security Rough","1.000","LABOR:Security Rough:Base","","False","False","True","True","0.0000","0.0000","42.5000","92.0000","0.5380","1.1647","False","False","True","Tech Solutions Labor Revenue:Security Rough-in Labor Revenue","Tech Solutions Labor COGS:Security Rough-in Labor","","","","0.00","0.00","0.00","","","","","",""
"SAV","DESIGN:BASE","Labor","Design","Design Labor.","Design Labor.","False","","Design","0.500","LABOR:Design:Base","","False","False","True","False","0.0000","0.0000","60.0000","130.0000","0.5385","1.1667","False","False","True","Tech Solutions Labor Revenue:Finish Phase Labor Revenue","Tech Solutions Labor COGS:Finish Labor COGS","","","","0.00","0.00","0.00","","","","","",""
"SAV","MANAGEMENT:BASE","Labor","Management","Management Labor","Management Labor","False","","Management","2.000","LABOR:Management:Base","","False","False","True","False","0.0000","0.0000","49.0000","105.0000","0.5333","1.1429","False","False","True","Tech Solutions Labor Revenue:Finish Phase Labor Revenue","Tech Solutions Labor COGS:Finish Labor COGS","","","","0.00","0.00","0.00","","","","","",""